Ease and convenient,total_customer,churn_customer,churn_rate,analysis_column,Time saving,Maximum wait time,More restaurant choices,More Offers and Discount,Late Delivery,Good Food quality,Easy Payment option,Google Maps Accuracy
Disagree,43,37,86.04651162790698,Ease and convenient,,,,,,,,
Strongly disagree,6,3,50.0,Ease and convenient,,,,,,,,
Neutral,16,4,25.0,Ease and convenient,,,,,,,,
Agree,176,20,11.363636363636363,Ease and convenient,,,,,,,,
Strongly agree,45,1,2.2222222222222223,Ease and convenient,,,,,,,,
,50,38,76.0,Time saving,Disagree,,,,,,,
,9,5,55.55555555555556,Time saving,Strongly disagree,,,,,,,
,40,8,20.0,Time saving,Neutral,,,,,,,
,103,9,8.737864077669903,Time saving,Agree,,,,,,,
,84,5,5.952380952380952,Time saving,Strongly agree,,,,,,,
,29,21,72.41379310344827,Maximum wait time,,15 minutes,,,,,,
,104,20,19.230769230769234,Maximum wait time,,30 minutes,,,,,,
,109,19,17.431192660550458,Maximum wait time,,45 minutes,,,,,,
,28,4,14.285714285714285,Maximum wait time,,60 minutes,,,,,,
,16,1,6.25,Maximum wait time,,More than 60 minutes,,,,,,
,35,29,82.85714285714286,More restaurant choices,,,Disagree,,,,,
,13,8,61.53846153846154,More restaurant choices,,,Strongly disagree,,,,,
,38,9,23.684210526315788,More restaurant choices,,,Neutral,,,,,
,122,13,10.655737704918032,More restaurant choices,,,Agree,,,,,
,78,6,7.6923076923076925,More restaurant choices,,,Strongly agree,,,,,
,16,11,68.75,More Offers and Discount,,,,Strongly disagree,,,,
,53,32,60.37735849056604,More Offers and Discount,,,,Disagree,,,,
,55,11,20.0,More Offers and Discount,,,,Neutral,,,,
,94,7,7.446808510638298,More Offers and Discount,,,,Agree,,,,
,68,4,5.88235294117647,More Offers and Discount,,,,Strongly agree,,,,
,28,14,50.0,Late Delivery,,,,,Strongly agree,,,
,122,40,32.78688524590164,Late Delivery,,,,,Agree,,,
,60,7,11.666666666666666,Late Delivery,,,,,Neutral,,,
,57,4,7.017543859649122,Late Delivery,,,,,Disagree,,,
,19,0,0.0,Late Delivery,,,,,Strongly disagree,,,
,16,12,75.0,Good Food quality,,,,,,Strongly disagree,,
,39,20,51.28205128205128,Good Food quality,,,,,,Disagree,,
,99,22,22.22222222222222,Good Food quality,,,,,,Agree,,
,78,8,10.256410256410255,Good Food quality,,,,,,Neutral,,
,54,3,5.555555555555555,Good Food quality,,,,,,Strongly agree,,
,19,16,84.21052631578947,Easy Payment option,,,,,,,Strongly disagree,
,41,25,60.97560975609756,Easy Payment option,,,,,,,Disagree,
,43,7,16.27906976744186,Easy Payment option,,,,,,,Neutral,
,105,12,11.428571428571429,Easy Payment option,,,,,,,Agree,
,78,5,6.41025641025641,Easy Payment option,,,,,,,Strongly agree,
,27,8,29.629629629629626,Google Maps Accuracy,,,,,,,,Disagree
,97,24,24.742268041237114,Google Maps Accuracy,,,,,,,,Agree
,93,21,22.58064516129032,Google Maps Accuracy,,,,,,,,Strongly Agree
,63,11,17.46031746031746,Google Maps Accuracy,,,,,,,,Neutral
,6,1,16.666666666666664,Google Maps Accuracy,,,,,,,,Strongly disagree
