feature,importance,feature_clean
cat__Time saving_Disagree,0.0658634185847614,Time saving_Disagree
cat__Ease and convenient_Disagree,0.06584355067094132,Ease and convenient_Disagree
cat__More restaurant choices_Disagree,0.05269147848691997,More restaurant choices_Disagree
cat__Self Cooking_Agree,0.034734738177194704,Self Cooking_Agree
cat__Easy Payment option_Disagree,0.031430043256549536,Easy Payment option_Disagree
num__Age,0.031312414915833274,Age
cat__Maximum wait time_15 minutes,0.027961189086470738,Maximum wait time_15 minutes
cat__Ease and convenient_Agree,0.026906744736260244,Ease and convenient_Agree
cat__More Offers and Discount_Disagree,0.026189909416588067,More Offers and Discount_Disagree
num__latitude,0.01913330010009895,latitude
num__longitude,0.018157389024455607,longitude
cat__Time saving_Strongly agree,0.01742117633585886,Time saving_Strongly agree
cat__More restaurant choices_Agree,0.015783353065015316,More restaurant choices_Agree
cat__Time saving_Agree,0.015655619836389568,Time saving_Agree
cat__Occupation_Student,0.013992947045941128,Occupation_Student
cat__Late Delivery_Agree,0.013971120751099419,Late Delivery_Agree
cat__More restaurant choices_Strongly agree,0.013514076149540541,More restaurant choices_Strongly agree
cat__Unaffordable_Agree,0.013127833527362,Unaffordable_Agree
cat__Monthly Income_No Income,0.011194077129210974,Monthly Income_No Income
cat__More Offers and Discount_Agree,0.010628924633243745,More Offers and Discount_Agree
cat__Ease and convenient_Strongly agree,0.01049243071492024,Ease and convenient_Strongly agree
cat__Bad past experience_Agree,0.010380088160084228,Bad past experience_Agree
num__Pin code,0.010036979195110698,Pin code
cat__Health Concern_Agree,0.009707485268973639,Health Concern_Agree
cat__Good Tracking system_Strongly agree,0.009232182359156738,Good Tracking system_Strongly agree
cat__Delay of delivery person picking up food_Agree,0.008904831492900995,Delay of delivery person picking up food_Agree
cat__Good Taste_Important,0.008799760772622314,Good Taste_Important
cat__Good Tracking system_Disagree,0.008285105882787911,Good Tracking system_Disagree
cat__Marital Status_Single,0.008123511002960075,Marital Status_Single
cat__Easy Payment option_Strongly agree,0.00810797008782407,Easy Payment option_Strongly agree
num__Family size,0.007793301089404906,Family size
cat__Unaffordable_Neutral,0.007554422053482595,Unaffordable_Neutral
cat__More Offers and Discount_Strongly agree,0.007479477212474739,More Offers and Discount_Strongly agree
cat__Easy Payment option_Strongly disagree,0.007252802835607818,Easy Payment option_Strongly disagree
cat__Poor Hygiene_Agree,0.0069931775554098186,Poor Hygiene_Agree
cat__Number of calls_Very Important,0.006792105473693284,Number of calls_Very Important
cat__Occupation_Employee,0.006470337525352908,Occupation_Employee
cat__Politeness_Very Important,0.006449744888276052,Politeness_Very Important
cat__Number of calls_Moderately Important,0.006445270112568324,Number of calls_Moderately Important
cat__Good Tracking system_Strongly disagree,0.005792485036167525,Good Tracking system_Strongly disagree
cat__Easy Payment option_Agree,0.005468840141311414,Easy Payment option_Agree
cat__Self Cooking_Disagree,0.005115449549905302,Self Cooking_Disagree
cat__Late Delivery_Neutral,0.0049894794104772405,Late Delivery_Neutral
cat__Number of calls_Important,0.004965253372394383,Number of calls_Important
