column_name,missing_count,missing_percent
Reviews,1,0.25773195876288657
Gender,0,0.0
Age,0,0.0
Occupation,0,0.0
Monthly Income,0,0.0
Educational Qualifications,0,0.0
Marital Status,0,0.0
latitude,0,0.0
longitude,0,0.0
Pin code,0,0.0
Medium (P1),0,0.0
Medium (P2),0,0.0
Meal(P1),0,0.0
Meal(P2),0,0.0
Perference(P1),0,0.0
Perference(P2),0,0.0
Ease and convenient,0,0.0
Time saving,0,0.0
More restaurant choices,0,0.0
Easy Payment option,0,0.0
More Offers and Discount,0,0.0
Good Food quality,0,0.0
Family size,0,0.0
Good Tracking system,0,0.0
Self Cooking,0,0.0
Late Delivery,0,0.0
Health Concern,0,0.0
Bad past experience,0,0.0
Unavailability,0,0.0
Unaffordable,0,0.0
Poor Hygiene,0,0.0
Delay of delivery person getting assigned,0,0.0
Delay of delivery person picking up food,0,0.0
Wrong order delivered,0,0.0
Missing item,0,0.0
Order placed by mistake,0,0.0
Influence of time,0,0.0
Order Time,0,0.0
Long delivery time,0,0.0
Maximum wait time,0,0.0
Residence in busy location,0,0.0
Good Road Condition,0,0.0
Google Maps Accuracy,0,0.0
Delivery person ability,0,0.0
Influence of rating,0,0.0
Less Delivery time,0,0.0
Low quantity low time,0,0.0
High Quality of package,0,0.0
Number of calls,0,0.0
Freshness,0,0.0
Politeness,0,0.0
Temperature,0,0.0
Good Taste,0,0.0
Good Quantity,0,0.0
Output,0,0.0
